digit,stage,loss,accuracy,acc_digit_0,acc_digit_1,acc_digit_2,acc_digit_3,acc_digit_4,acc_digit_5,acc_digit_6,acc_digit_7,acc_digit_8,acc_digit_9
0,baseline,12.271372,0.339950,0.950000,0.024390,0.000000,0.000000,0.030303,0.000000,0.000000,0.232558,0.000000,1.000000
0,perturbed,13.247454,0.334988,0.950000,0.024390,0.000000,0.000000,0.060606,0.000000,0.000000,0.162791,0.000000,1.000000
1,baseline,2.908869,0.398977,0.580645,0.990000,0.000000,0.000000,0.325000,0.000000,0.000000,0.000000,0.000000,0.787879
1,perturbed,3.055561,0.383632,0.483871,0.970000,0.000000,0.000000,0.225000,0.000000,0.000000,0.000000,0.000000,0.878788
2,baseline,3.014207,0.377834,0.514286,0.035714,0.910000,0.000000,0.218750,0.000000,0.000000,0.000000,0.000000,0.767442
2,perturbed,3.118526,0.387909,0.485714,0.035714,0.910000,0.000000,0.187500,0.000000,0.000000,0.000000,0.000000,0.906977
3,baseline,1.902789,0.378517,0.466667,0.000000,0.000000,0.950000,0.933333,0.000000,0.000000,0.000000,0.000000,0.111111
3,perturbed,1.888750,0.388747,0.555556,0.000000,0.000000,0.910000,0.933333,0.000000,0.000000,0.000000,0.000000,0.222222
4,baseline,15.605981,0.310000,0.000000,0.030303,0.000000,0.000000,0.910000,0.000000,0.000000,0.151515,0.000000,1.000000
4,perturbed,16.951061,0.305000,0.000000,0.030303,0.000000,0.000000,0.910000,0.000000,0.000000,0.090909,0.000000,1.000000
5,baseline,3.140111,0.378446,0.406250,0.027027,0.000000,0.000000,0.478261,0.950000,0.000000,0.000000,0.000000,0.861111
5,perturbed,3.204054,0.373434,0.375000,0.027027,0.000000,0.000000,0.304348,0.950000,0.000000,0.000000,0.000000,0.944444
6,baseline,14.744045,0.361650,0.000000,0.000000,0.000000,0.000000,0.076923,0.000000,0.950000,0.375000,0.000000,0.973684
6,perturbed,15.882457,0.356796,0.000000,0.000000,0.000000,0.000000,0.076923,0.000000,0.950000,0.350000,0.000000,0.947368
7,baseline,24.920757,0.302439,0.000000,0.066667,0.000000,0.000000,0.028571,0.000000,0.000000,0.880000,0.000000,0.969697
7,perturbed,26.955201,0.302439,0.000000,0.066667,0.000000,0.000000,0.028571,0.000000,0.000000,0.880000,0.000000,0.969697
8,baseline,2.830806,0.341772,0.423077,0.057143,0.000000,0.000000,0.421053,0.000000,0.000000,0.023256,0.850000,0.952381
8,perturbed,2.910454,0.336709,0.423077,0.085714,0.000000,0.000000,0.315789,0.000000,0.000000,0.023256,0.860000,0.952381
9,baseline,20.525651,0.261194,0.000000,0.104167,0.000000,0.000000,0.000000,0.000000,0.000000,0.379310,0.000000,0.890000
9,perturbed,22.290059,0.263682,0.000000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379310,0.000000,0.890000
